page,url,tier,final_score
wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,Thought Leadership Blog / Insights Page,7.0
wwwlinkedincomcompanysoprasteria-benelux,https://www.linkedin.com/company/soprasteria-benelux/,Corporate LinkedIn Company Page,0.0
wwwsoprasteriacom,https://www.soprasteria.com/,Corporate Homepage / Brand Awareness & Lead Generation,6.4
wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,Services Offering / Consulting Solutions Page,6.6
wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,Corporate Press Release / Thought Leadership Announcement,5.8
wwwnldigitalnlledensopra-steria-nederland-b-v,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,Member Profile / Corporate Overview Page on Industry Association Website,5.5
wwwsoprasterianlnewsroomblog,https://www.soprasteria.nl/newsroom/blog,Thought Leadership / Insights Blog,7.0
wwwsoprasteriacomabout-ushistory,https://www.soprasteria.com/about-us/history,Corporate Brand / About Us / History Page,6.8
wwwsoprasteriabe,https://www.soprasteria.be/,Corporate Homepage / Corporate Brand & Services Overview,7.0
wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,Thought Leadership / Insight Report Landing Page,7.2
wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,Industry Solutions / Transformation Consulting Landing Page,7.2
wwwyoutubecomSopraSteria_Benelux,https://www.youtube.com/@SopraSteria_Benelux,Corporate YouTube Channel Landing Page (Third-party platform),3.6
wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,Press Release / Thought Leadership Insight,7.2
wwwsoprasterianl,https://www.soprasteria.nl/,Corporate Homepage / Brand & Services Overview,7.4
wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,Thought Leadership Blog Article / Insights Page,6.8
wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,Services Offering / Solution Overview Page,7.4
wwwsoprasteriabeindustriesfinancial-services,https://www.soprasteria.be/industries/financial-services,Industry Solutions / Corporate Website - Sector-Specific Landing Page,7.2
wwwsoprasteriacomabout-uscorporate-responsibility,https://www.soprasteria.com/about-us/corporate-responsibility,Corporate Website - Corporate Responsibility / ESG Section,6.8
