page_id,url,slug,persona,tier,final_score,brand_health_index,trust_gap,audited_ts
fe8eb8c2,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,The_BENELUX_Technology_Innovation_Leader,Thought Leadership Blog Post,7.4,6.44,0.2,2025-06-21 16:02:29
7f942435,,wwwlinkedincomcompanysoprasteria-benelux,The_BENELUX_Technology_Innovation_Leader,,0.0,2.0,0.0,
97b9dedf,https://www.soprasteria.com/,wwwsoprasteriacom,The_BENELUX_Technology_Innovation_Leader,Corporate Website - Home Page ,7.4,6.44,0.2,2025-06-21 15:50:20
8fe8ea84,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,The_BENELUX_Technology_Innovation_Leader,Services/Solutions Page,6.6,5.96,0.5,2025-06-21 15:55:57
4fb3c324,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,The_BENELUX_Technology_Innovation_Leader,Press Release,5.2,5.12,0.6,2025-06-21 15:58:49
bda8940b,,wwwnldigitalnlledensopra-steria-nederland-b-v,The_BENELUX_Technology_Innovation_Leader,,0.0,2.0,0.0,
6be18313,https://www.soprasteria.nl/newsroom/blog,wwwsoprasterianlnewsroomblog,The_BENELUX_Technology_Innovation_Leader,Thought Leadership Blog ,7.2,6.32,0.2,2025-06-21 16:00:45
51dceb19,https://www.soprasteria.com/about-us/history,wwwsoprasteriacomabout-ushistory,The_BENELUX_Technology_Innovation_Leader,About Us - History Page,6.4,5.84,0.3,2025-06-21 15:52:26
58559e0e,https://www.soprasteria.be/,wwwsoprasteriabe,The_BENELUX_Technology_Innovation_Leader,Corporate Website - Top Level,7.2,6.32,0.0,2025-06-21 15:49:18
ce6ef35e,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,The_BENELUX_Technology_Innovation_Leader,Thought Leadership Content Page,7.6,6.56,0.3,2025-06-21 15:53:45
b53c7bea,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,The_BENELUX_Technology_Innovation_Leader,Industry Solutions Page,7.4,6.44,0.3,2025-06-21 15:57:55
4b79a42a,,wwwyoutubecomSopraSteria_Benelux,The_BENELUX_Technology_Innovation_Leader,,0.0,2.0,0.0,
d83b69a8,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,The_BENELUX_Technology_Innovation_Leader,Press Release,7.8,6.68,0.2,2025-06-21 15:59:52
ad80a76c,https://www.soprasteria.nl/,wwwsoprasterianl,The_BENELUX_Technology_Innovation_Leader,Corporate Website - Top-level ,7.2,6.32,0.2,2025-06-21 15:48:21
f52cdbdc,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,The_BENELUX_Technology_Innovation_Leader,Thought Leadership Blog,7.8,6.68,0.3,2025-06-21 16:01:38
cded0b85,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,The_BENELUX_Technology_Innovation_Leader,Service Offering Page ,7.8,6.68,0.2,2025-06-21 15:54:47
624753c4,https://www.soprasteria.be/industries/financial-services,wwwsoprasteriabeindustriesfinancial-services,The_BENELUX_Technology_Innovation_Leader,Industry Solutions Page ,7.4,6.44,0.4,2025-06-21 15:56:54
2aa6d30b,https://www.soprasteria.com/about-us/corporate-responsibility,wwwsoprasteriacomabout-uscorporate-responsibility,The_BENELUX_Technology_Innovation_Leader,Corporate Responsibility Overview Page ,7.4,6.44,0.2,2025-06-21 15:51:24
